Category,Activity_name,Price,Age_range,Activity_description,Available_dates 
İncəsənət və Sənətkarlıq,Keramika Masterklassı,30,3+,"Qiymətə daxildir:

Peşəkar Keramist Rəssam tərəfindən təlim
Keramika masterklassı (1 əsər; hazırlanan əsəri iştirakçı özü ilə aparır).
Bütün lazımi ləvazimatlar və material (çarx, gil, forma verən alət və qəliblər, önlük, və s).
Əsərin rəngli angoblar (xüsusi boyalar keramika üçün) ilə dizayn edilməsi (fırça və boyalar təmin olunur).
Çay süfrəsi və dadlı şirniyyatlar
Foto sessiya imkanı (öz kameranızla)
Müddət: Təqribi 2 saat

Qiymət:

Birdəfəlik: 30AZN
Aylıq 8 dərs: 200AZN

Dil: Sessiya Azərbaycan və Rus dillərində aparıla bilər.
Ünvan: Mərdanov Qardaşları 20 (Tarqovı)
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Keramika Sənəti Haqqında
Keramika tarixinin təxminən 20000 il əvvələ qədər uzandığını bilirdiniz? Hətta dünyaca məşhur rəssam Pablo Pikasso da bu sənətə vurularaq öz emalatxanasında 3000-dən çox saxsıqab və heykəl düzəldib. 
Proqram
Masterklass bir iştirakçı üçün 2 saat davam edir. Bu fəaliyyətdə iştirakçı saxsı qabların hazırlanmasının müxtəlif üsulları ilə tanış olur və müxtəlif texnikaları istifadə etməklə gilə arzu olunan formanı nəcə verməyi öyrənir. Bir sözlə, əlində olan gil və suyu öz xəyalındakı əsərə necə çevirə biləcəyini kəşf edir. Daha sonra öz zövqünə uyğun əsəri rəngləyir.","['Çərş.A. - Baz, 11:00-18:00 (28 Apr. - 30 Iyl.)']"
"Tamaşa, Teatr, Şoular","Cinema Fulldome - ""Kainata Doğru""",3,3+,"
Müddət: 30 dəqiqə
Tarix: Hər şənbə və bazar 16:00
Filmin dili: Rus dili
Ünvan: Neftçilər Prospekti, Sahil metrosu yaxınlığı
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.

Qiymət: 3AZN (Uşaqlar), 5AZN (Böyüklər)
Fulldome Cinema nədir?
Filmlərin nümayiş olunduğu kinoteatr astronomiya və əlaqəli sahələrdə maarifləndirici və əyləncəli şoular vasitəsi ilə ulduzların, planetlərin və digər göy cisimlərinin təsvirlərini izləyə biləcəyiniz ən son nəsil texnologiya ilə təchiz olunmuş yarımkürə qübbəli teatrdır.
""Kainata Doğru"" filmi haqqında
Kosmik biliklərin dərinliklərinə səyahət: qədim yunan və orta əsr astronomlarının nəzəriyyələrindən, teleskopun ixtirasından tutmuş dünyanın dərinliklərinə baxmağa imkan verən nəhəng müasir teleskoplara qədər.
Video və səsin valehedici birləşməsi sayəsində siz Günəşin gücünü hiss edəcək və günəş sisteminin müxtəlif hissələrinə baş çəkəcək, saysız-hesabsız qalaktikalar ilə tanış olacaqsınız.

Filmin rejissoru Teofanis Matsopoulos, saundtreki Yohan Monell tərəfindən bəstələnib.
İstehsal: ESO Fulldome, Almaniya, 2015.
","['Şən. - Baz, 16:00-16:30 (29 Apr. - 25 Iyn.)']"
İdman və Döyüş Sənəti,Airsoft - Hərbi Taktiki Oyun / Açıq Hava,35,18+,"Airsoft yumşaq pnevmatika ilə çalışan real silahların tam ölçülü surətlərilə və komanda şəklində oynanan hərbi taktiki oyundur. Paintball'dan fərqli olaraq, airsoft oyununda sərt plastikdən hazırlanmış 6mm yuvarlaq şarlardan istifadə edilir. İstifadə olunan silahlar real silahların tam ölçülü surətləridir.

Standart Bilet: 35AZN / 1 nəfər
Standart Plus Bilet: 45AZN / 1 nəfər

Biletə daxildir

Avtomat (Airsoft tüfəng);
Muncuq 700 ədəd (Plastik şarik 6mm);
Qoruyucu jilet;
Üz üçün qoruyucu maska (Dəmir setka);
Qoruyucu eynək (Plastik-şəffaf eynək, plastik-qara eynək);
Hərbi geyim (yalnız Standard Plus paketdə);
Oyundan əvvəl peşəkar təlimçi tərəfindən təhlükəsizlik üzrə təlimat;
Oyunlar arasında fasilələr zamanı su, çay və şirniyyat.

Ünvan: Ulduz m/s yaxınlığı
Qeydlər: 

Yaş həddi: 18+
Oyunun maksimum müddəti: 3 saat
İştirakçı sayı: Minimum 6, maksimum 10 nəfər (Tək və ya 6 nəfərdən az qrupla klubun daimi üzvlərinin iştirak etdiyi klub oyunlarına qoşula bilərsiniz. Klub oyunları həftənin bazar günü saat 11:30-da Ulduz m/s yaxınlığında keçirilir.
Bu fəaliyyətdə 6 mm-lik plastik şarlardan istifadə olunduğuna görə təhlükəsizdir. 

Ləğv qaydası: Qeydiyyatınızı sessiyanın başlamasına 96 saat əvvələ qədər ləğv etmək imkanınız var. 
Bu fəaliyyətdə əlavə olaraq əsas silahla təhlükəsiz davranış bacarıqları əldə edəcək və praktiki atış qaydaları ilə tanış olacaqsınız. Fəaliyyət böyüklər üçün nəzərdə tutulmuş müasir, dinamik və innovativ idman növüdür. Eyni zamanda heç vaxt silah tutmayan və Praktiki Atıcılıq idmanı ilə tanış olmaq istəyənlər və yeni başlayanlar üçün də uyğundur.
Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
İştirak üçün biletlər əvvəldən onlayn şəkildə alınmalıdır.","['Baz.E. - Baz, 17:00-20:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 17:00-20:00 (28 Apr. - 31 Dek.)', 'Baz - Baz, 11:30-14:30 (30 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,3-ü 1-də Atıcılıq Cütlük Paketi,36,14+,"Qiymətə daxildir:

Silahla düzgün davranış və təhlükəsizlik qaydaları üzrə brifinq
Peşəkar təlim (düzgün duruş, silahın tutulması, nişan almaq və atəş qaydaları)
İştirakçıya uyğun ölçüdə silah
Airsoft avtomat gülləsi
Ox atışı
Snayper gülləsi 
Qoruyucu vasitə atıcı gözlüklər (avtomat üçün)
Müxtəlif məsafələrdə olan sabit hədəflər (20 metr, 30 metr, 42 metr)
Fotosessiya imkanı (öz kameranızla)

Qiymət:

Ekonom Paket:  36AZN (avtomatdan 24 atış, snayperdən 28 atış, oxdan 6 atış +  təlim)
Gold Paket:  48 AZN (avtomatdan 50 atış, snayperdən 28 atış, oxdan 6 atış +  təlim)
Premium Paket: 54 AZN (avtomatdan 65 atış, snayperdən 28 atış, oxdan 12 atış +  təlim)

Vacib qeydlər:

Heç vaxt silah tutmayan və praktiki atıcılıq idmanı ilə tanış olmaq istəyən, yeni başlayanlar üçün də uyğundur.
16 yaşından aşağı uşaqların valideynlə birlikdə gəlməsi mütləqdir.
Aylıq təlimdə iştirak edənlərə peşəkar atıcılıq sertifikatı verilir.

Dil: Azərbaycan və ya Rus dilində (istəyə uyğun olaraq).
Ünvan: Azərbaycan Nəşriyyatın yaxınlığı
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Təlimçi haqqında

İngiltərənin atıcılıq akademiyasının rəhbəri Filip Torald tərəfindən və Rusiya atıcılıq üzrə yığma komandasında təlim almışdır.
Atıcılıq üzrə beynəlxalq dərəcəli sertifikatlara sahibdir, həmçinin beynəlxalq və yerli yarışların təşkilatçısıdır. Tələbələri dəfələrlə atıcılıq üzrə keçirilən yarışlarda qalib olmuşdur.
13 illik təcrübəyə malikdir, Beynəlxalq Döyüş və Xüsusi Hazırlıq federasiyasının Vitse prezidentidir.

Atıcılıq və Oxçuluq Növü Haqqında

Action AIR çərçivəsində siz əsas silahla təhlükəsiz davranış bacarıqları əldə edəcək və praktiki atış qaydaları ilə tanış olacaqsınız. Fəaliyyət həm böyüklər, həm də uşaqlar üçün nəzərdə tutulmuş, müasir, dinamik və innovativ idman növüdür.
Optik nişangahlı tüfəng (PCP Snayper) ilə atəş açmağı öyrənmək fokusu artırır, görmə qabiliyyətini genişləndirir, fiziki intizam və gücü artırır. O həm də adrenalin hormonunun ifrazına səbəb olaraq iştirakçılara xoş və əyləncəli anlar yaşadır.
Oxçuluq isə oxçuluğun olimpiya növü ilə məşğul olursunuz. Əvvəlcə yayın və oxun düzgün tutulma qaydalarını öyrəndikdən və təlimçinin praktik izahından sonra məşqçilərin nəzarətində sərbəst atışlar edirlər.

İndi qeydiyyatdan keçin, asudə vaxtınızı daha xoş keçirin!","['Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)', 'Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)', 'Çərş.A. - Baz, 12:00-20:00 (28 Apr. - 31 Dek.)']"
Turlar və Səyahət,Karavan Otel / Xəzərin Sahilində,120,6+,"Xəzərin sahilində unudulmaz anlar yaşayın!
 Günlük icarə qiyməti:  Həftəiçi 120AZN / Həftəsonu 140AZN. 

Giriş (check in): 14:00 
Çıxış (check out): 12:00 (növbəti gün günorta)

Yataq

2 nəfərlik yataq 
Təmiz yataq dəsti
 Kondisioner, qarderob, iş masası, tərlik

Mətbəx 

Boşqab, kasa, stəkan, fincan, french press
 Duz, istiot, yağ
 Elektrik çaydan, induksiya plitəsi, mini soyuducu
 Çəngəl, qaşıq, bıçaq, şərab açan

Hamam / sanitar qovşağı 

 Suisidici
 Salfet, tualet salfeti, şampun
 Üz dəsmalı

Digər

 Oturma yeri
 360° Terras
 Dəniz mənzərəsi və çimərlik
 Manqal və samovar (Samovar istəyə görə təşkil olunur)
 Qonaqların rahatlığı üçün oteldə olarkən onlar çağırmadığı müddətcə ərazidə heçbir əməkdaş olmur

📍Məkan: Şıxov çimərliyi ərazisi (100 metr məsafədə dəniz mənzərəli restoran fəaliyyət göstərir)
📝 Qonaqlar giriş vaxtı şəxsiyyət vəsiqəsi təqdim edirlər.(18 yaşdan aşağı şəxslər yalnız valideyn himayəsində qəbul olunur)
Qeyd: 

Hər bir rezervasiyadan sonra avtobus dezinfeksiya olunur və təmizlənir.
Gecə maksimum 2 nəfər gecələyə bilər, gün ərzində isə maksimum 5 nəfər gələ və onlardan 3-ü gecə saat 11-də getməklə, 2-si gecələyə bilər.

Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Baz.E. - Cüm., 14:00-12:00 (01 Iyn. - 29 Dek.)', 'Şən. - Baz, 14:00-12:00 (01 Iyl. - 31 Dek.)', 'Baz.E. - Baz, 13:30-12:00 (11 May - 11 May)']"
"Tamaşa, Teatr, Şoular","Cinema Fulldome - ""Balaca Əjdahanın Macəraları""",3,3+,"
Müddət: 25 dəqiqə
Seans: Hər şənbə və bazar, 18:00
Filmin dili: Rus dili
Ünvan: Neftçilər Prospekti, Sahil metrosu yaxınlığı
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.

Qiymət: 3AZN (Uşaqlar), 5AZN (Böyüklər)
Fulldome Cinema nədir?
Filmlərin nümayiş olunduğu kinoteatr astronomiya və əlaqəli sahələrdə maarifləndirici və əyləncəli şoular vasitəsi ilə ulduzların, planetlərin və digər göy cisimlərinin təsvirlərini izləyə biləcəyiniz ən son nəsil texnologiya ilə təchiz olunmuş yarımkürə qübbəli teatrdır.
""Balaca Əjdahanın Macəraları"" filmi haqqında
Fantastik sərgüzəştlər axtarışındakainatı gəzən şən əjdaha Vudi ilə gözəl səyahət.
Hər kəs öz ünvanını, hansı şəhərdə, hansı küçədə yaşadığını bilir. Bəs Yerin harada yaşadığını bilirsinizmi? Onu nə əhatə edir? Yerdən Günəş nə qədər uzaqdadır, planetimiz digər planetlərdən nə ilə fərqlənir?
Bu dəfə əjdaha Yerə çatır və orada Lena adlı ağıllı qızla tanış olur. Vudi və Lena birlikdə uşaqları planetimiz haqqında ən maraqlı məlumatlar ilə tanış edəcək və onlara Günəş sistemi haqqında danışacaqlar.
Şou sizi qalaktikaların, ulduz qruplarının və kometlərin fantastik və sonsuz dünyasına aparacaq. Vudi ilə birlikdə maraqlı hekayələr ilə tanış olun və böyük kainatda hansı yeri tutduğumuzu öyrənin.","['Şən. - Baz, 18:00-18:30 (29 Apr. - 25 Iyn.)']"
Turlar və Səyahət,Ezraider Turu - Yanardağ,40,18+,"Biletə daxildir:

Təhlükəsizlik brifinqi
Qoruyucu kaska (baş geyimi)
Ezraider skuteri (45 dəqiqə)
5 ox atışı
5 nizə atışı
Tur bələdçisi
Xüsusi dizayn olunmuş tur marşrutun (uzunluğu 6.5km)

Qiymət: 40AZN (1 nəfər; 45 dəqiqəlik ezraider + 5 ox atışı + 5 nizə atışı)
Qeyd: Qrup kimi eyni vaxtda maksimum 10 nəfər iştirak edə bilər
Ünvan: Yanardağ qoruğu
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Ezraider Haqqında
Sizi daha əvvəl yaşamadığınız hissləri təcrübə etməyə çağırırıq. Kompakt və unikal dizayna malik olan EZRaiderlərimiz sizə Azərbaycanda rəqibi olmayan adrenalin dolu bir tur yaşadacaq. Etdiyiniz səyahəti daha da unudulmaz etmək üçün hər kəsə action camera vasitəsi ilə çəkiliş etmək imkanı təklif edirik. Eyni zamanda sizə hər turun özünə məxsus eksklüziv təkliflərini təqdim edirik.
Çox böyük bir marağa səbəb olan Yanardağ təbiət qoruğuna daha adrenalin dolu səyahət etmək istəyənlərə qeyri-adi landşaftı ilə diqqət çəkən Qırməki vadisində əyləncə dolu bir səyahət etməyi təklif edirik. Həm mədəniyyət, həm tarixi, həm də təbiət qoruğu olan Yanardağ qoruğunun ərazisini daha əyləncəli bir turla gəzməyə tələsin.","['Baz.E. - Baz, 10:00-17:30 (28 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,Stolüstü Tennis (Oyun / Stol),12,5+,"Biletə daxildir?

Beynəlxalq standardlara uyğun tennis stolu (1 saatlıq)
Raketkalar və toplar
Peşəkar məşqçi tərəfindən ilkin təlim (ehtiyac olarsa)
Hər oyun stolunun yanında izləyicilər üçün oturacaqlar
Çəkiliş üçün telefon qoyulan tripod
Duş kabinləri, soyunub geyinmə otağı (xanımlar və bəylər üçün ayrı)
Məkanda çay içmək üçün kafe fəaliyyət göstərir (əlavə ödəniş ilə).

Qiymət: 12AZN (1 saatlıq - oyunçu sayından asılı olmayaraq bir oyun stolunun saatlıq sabit qiymətidir (İstənilən sayda iştirakçı ilə oynaya bilərsiniz).
Ünvan: Deluxe Otelin və Başkent restoranının yanı, Şəki restoranı dairəsi, N. Nərimanov metrosu yaxınlığı.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Stolüstü Tennis haqqında
Amerikanın ən yaxşı psixiatrı, dünyaca tanınmış Dr. Daniel Amen stolüstü tennis haqqında deyir ki, ""stolüstü tennis dünyanın ən yaxşı beyin idman növüdür"". Stolüstü tennisin sağlamlıq üçün faydalarını saymaqla bitirə bilmərik. O, göz-əl koordinasiyasını, balans və refleksləri gücləndirir, yaddaşı və beyini iti saxlayır. Əgər nə vaxtsa oynaqlarınızda, belinizdə problem olubsa stolüstü tennis sizin üçün ən ideal fiziki terapiyadır. 
1988-ci ildən bəri Olimpiya idman növü olan və günümüzdə ping-pong olaraq da tanınan stolüstü tennisdə gəlin siz də özünüzü sınayın!","['Baz.E. - Baz, 09:00-00:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-21:00 (28 Apr. - 31 Dek.)', 'Baz.E. - Baz, 10:00-21:00 (28 Apr. - 31 Dek.)']"
Turlar və Səyahət,Quadrosafari - Cütlük Bileti / Şəhərin Mərkəzində,25,16+,"Bakıda peşəkar QUADROSAFARI treki. Trek şəhərin mərkəzində, Yeni Yasamalda yerləşir.

Trekin uzunluğu 3 kilometr.
Təhlükəsizlik üçün kaska, qoruyucu jilet, dizlik, qolluq və brifinq təmin olunur.

Qiymət: Cütlük Bileti: 25azn (bir kuadrasikldə iki nəfər,maksimum 130 kilo)
Qeydlər:

Trek orta çətinlik dərəcəli olduğuna görə uşaqlar da sərnişin rolunda iştirak edə bilər.
1 quadrasiklin üçün maksimum çəki 140 kiloqramdır.

Gəlin, yoxlayın. Bu gündən həzz alacaqsınız.Ləğv Qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir
 ","['Baz.E. - Baz, 10:00-19:00 (28 Apr. - 30 Sen.)']"
İdman və Döyüş Sənəti,Qılıncoynatma (Fencing),25,6+,"Biletə daxildir:

İdman Ustası və Azərbaycan çempionu tərəfindən təlim (reaksiya və duruş məşqləri, döyüş texnikaları)
Qoruyucu ləvazimatlar (Maska, əlcək, qoruyucu jilet, 1 ədəd qol qoruyucu, plasmas bədən qoruyucu)
Döyüş ləvazimatları (Rapira qılınc, elektrikli gödəkçə (sayğac))
Geyim dəyişmə zonası
Proqram müddəti: təqribi 3 saat (proqram ərzində hər biri 3 dəqiqə davam edən 4-5 aktiv döyüş)
Proqramın son mərhələsində masaüstü oyun (boardgame) + çay

Qiymət: 

Birdəfəlik bilet: 25AZN (1 nəfər); 40AZN (2 nəfər / cütlük və ya para)
Aylıq məşqlər: 60 AZN (6-12 yaş); 100AZN (12 yaş və yuxarı)

Vaxt:

Birdəfəlik (günlük məşqlər): Hər şənbə və bazar 10:00-17:00
Aylıq məşqlər: Hər şənbə və bazar 10:00-13:00.

Vacib qeydlər:

Geyim: İştirakçının yüngül geyimdə idman forması və idman ayaqqabısı ilə gəlməyi vacibdir
Dil: Azərbaycan, Rus və İngilis dillərində (istəyə uyğun olaraq).
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.

Ünvan: 2 saylı Asan Xidmətin və Amay Ticarət Mərkəzinin yanı (Xətai)
Qılıncoynatma məşqçisi haqqında
Məşqçimiz 14 ildir qılıncoynatma (fencing) idman növü ilə məşğuldur və qılıcoynatmanın hər 3 növü (rapira, qılınc və şpaqa) üzrə peşəkar idman ustasıdır. Azərbaycan çempionu titulu ilə yanaşı dəfələrlə ölkəmizi və hazırda isə Konqo Demokratik Respublikasını müxtəlif beynəlxalq müsabiqələrdə uğurla təmsil edir.
Qılıncoynatma daha çevik olmaq, xarakter, nizam-intizam və dözümlülük yaratmaq istəyənlər üçün ideal idman növüdür.
🤺 Fəlsəfəsi, romantizmi və zəngin tarixi ilə seçilir.
🤺 Bu idman növündə əsas nüans tək bacarıq deyil, müdriklik, ləyaqət, nəciblik və rəqibinizə ən dərin hörmətdir.
🤺Qılıncoynatma təfəkkür və məntiqi inkişaf etdirir, qılınc döyüşündə baş bədəndən az işləmir.
🤺Reaksiya sürəti, mükəmməl texnika və döyüşdə tez naviqasiya bacarığı inkişaf edən vacib bacarıqlardandır.","['Şən. - Baz, 10:00-17:00 (29 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-15:00 (29 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-15:00 (29 Apr. - 31 Dek.)', 'Şən. - Baz, 10:00-15:00 (29 Apr. - 31 Dek.)']"
İdman və Döyüş Sənəti,Beysbol Oyunu (Həvəskar) - Bakıda Amerikan Həyatı Yaşa,5,7+,"Biletə daxildir:

İlk dəfə oynayanlar üçün beysbol oyun qaydaları haqqında qısa təlim və qısa məşq
Oyun üçün bütün ləvazimatlar (toplar, dəyənəklər, əlcəklər, qaydalara uyğun meydança)
Oyundan əvvəl və sonra istifadə üçün dəyişmə otağı
İsti və soyuq su ilə təmin olunmuş hamam/duş
Təqribi 3 saatlıq oyun (Həvəskar və veteran oyunçularla)

Qiymət: 5AZN (1 nəfər)
Qeydlər:

Oyun üçün lazımi avadanlıqlar təşkilatçı tərəfindən təmin olunur.
Tək və ya bir neçə nəfər iştirak edə bilərsiniz.

Ünvan: Şağan Olimpiya Kompleksi (Mərdəkanın girişi).
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.
Elə indi qeydiyyatdan keçin və Amerikan həyat tərzini siz də yaşayın!
Beysbol oyunu haqqında
Beysbolla daha sağlam həyat!
Beysbol oyunu Amerikan həyat tərzinin ayrılmaz bir hissəsidir. 18-ci əsrdə Amerikada yaranmış və Amerikanın milli oyunu hesab edilən beysbol idman növü ilə məşğul olan idmançıların illik minimum əmək haqqısı 570,000 dollardır.
Beysbol oynamaqla övladınızın göz və əl koordinasiyası, refleksləri inkişaf edəcək. Oyunun ürək-damar sistemi və mental sağlamlığa xeyirləri Ümumdünya Səhiyyə Təşkilatı tərəfindən sübut olunmuşdur.","['Baz - Baz, 07:00-10:00 (30 Apr. - 31 Dek.)', 'Baz - Baz, 07:00-10:00 (30 Apr. - 25 )']"
İdman və Döyüş Sənəti,Yamac Paraşütü,100,10+,"Bu unudulmaz macəranı səndə yaşa.
Uçuşlar Bakıdan 75 km-lik məsafədə yerləşən  Beşbarmaq dağından keçirlilir. Uçuşlar beynəlxalq sertifikata sahib və xüsusi təlimlər keçmiş peşakar təlimçilər tərəfindən keçirilir.   
Qiymətə daxildir:

8-10 dəqiqəlik uçuş
Limitsiz peşakar foto və video
Offroad maşınlar ilə dağa qalxma və eniş nöqtəsindən toplanış nöqtəsinə transfer
Təlim
Mövsümə uyğun kamp 

Çəki limitləri: Minumum 40, maksimum 100 kq. Geyim: İsti, rahat geyim və qaçış üçün uyğun ayaqqabı və ya bot
Dil: Azərbaycan, Rus, İngilis
Vacib qeyd: Uçuşun vaxtı və saatı hava şəraitindən asılı olaraq müəyyənləşdirilir və dəyişdirilə bilər.
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir.","['Şən. - Baz, 10:00-17:00 (29 Apr. - 07 May)', 'Baz.E. - Çərş.A., 10:00-17:00 (28 Apr. - 09 May)', 'Baz.E. - Baz, 10:00-17:00 (29 Apr. - 09 May)']"
Digər,Krugerin Evi Kvest Oyunu,14,14+,"Biz altı nəfər idik: valideynlərim, mən və üç bacım. Biz xoşbəxt yaşayırdıq, və heç nə bəlanın gələcəyini bildirmirdi, o ana qədər ki, dəhşətli bir faciə baş verdi. Əvvəllər heç vaxt belə ümidsiz addım atmağı qərar verməyən atam, özünü asıb intihar etdi. Heç kəs bunun necə baş verdiyini anlamadı, lakin o vaxtdan hər şey pisə doğru getməyə başladı. Anamı xəstəxanaya qoydular, bacılarım dəli olurdular.
Yenə və yenə təkrarlanan eyni bir yuxu bizi narahat edirdi. Dönə-dönə bizi öldürməyə cəhd edən üzü yandırılmış şlyapada insan. Beləliklə mən bütün bacılarımı itirdim. Mənim adım Samanta Fulksdur və mən axırıncıyam. Mənim ailəmə “Elm” küçəsindən İblisin lənəti düşdü.
Qiymət: 

Həftə içi: 14AZN (bir nəfər üçün və minimum 2 iştirakçı olmalısınız).
Həftəsonu (cümə, şənbə və bazar): 18AZN (bir nəfər üçün və minimum 2 iştirakçı olmalısınız).

Bilet alarkən əlavə iştirakçılar üçün də bilet seçə bilərsiniz və biletin qiyməti ümumi məbləğə əlavə olunacaq.
İştirakçıların Sayı: Əlavə iştirakçılarla birgə komandada maksimum iştirakçı sayı 5 nəfər ola bilər.
Kvestin Müddəti: 60 dəqiqə
Çətinlik Səviyyəsi: Mürəkkəb (4/5)
Ünvan: Həsən bəy Zərdabi pr. (Qələbə dairəsi və ''Tri Korona” yaşayış kompleksi yaxınlığı
Ləğv qaydası: Xidmətin baş tutmasına 96 saat və ya daha çox müddət qaldıqda bilet geri qaytarılarsa və ya dəyişdirilərsə, bilet dəyərinin 20%-i tutulur. Xidmətin baş tutmasına 96 saat və ya daha az müddət qaldıqda bilet geri qaytarılmır və ya dəyişdirilmir. ","['Baz.E. - Cüm.A., 13:00-23:00 (01 May - 28 Dek.)', 'Cüm. - Baz, 13:00-23:00 (28 Apr. - 31 Dek.)']"
